ANO4,PERIODO,AGLOMERADO_NOM,GRUPO_EDAD,tasa_actividad,tasa_empleo,tasa_desocupacion
2016,2016T2,Gran San Juan,Adultos (25-54),79.51399213665049,73.38961024658319,7.702269406297828
2016,2016T2,Gran San Juan,Jóvenes (15-24),18.696949661371313,15.188256106931613,18.766128261492877
2016,2016T2,Gran San Juan,Mayores (55+),29.146854594798455,28.499064549763737,2.2225041227958897
2016,2016T2,Partidos del GBA,Adultos (25-54),80.5299317652097,73.36656442939291,8.895285490495706
2016,2016T2,Partidos del GBA,Jóvenes (15-24),29.17287619215383,21.55176584058709,26.123959466212888
2016,2016T2,Partidos del GBA,Mayores (55+),37.39464682579538,35.156217942680684,5.985960754068654
2016,2016T3,Gran San Juan,Adultos (25-54),70.89541427536635,68.54181757396779,3.3198151466566066
2016,2016T3,Gran San Juan,Jóvenes (15-24),19.793309235583802,16.872467916838506,14.756710381174162
2016,2016T3,Gran San Juan,Mayores (55+),26.537093289582693,25.764688682769936,2.91066017812873
2016,2016T3,Partidos del GBA,Adultos (25-54),79.87033097064254,73.49824879232459,7.978034021995114
2016,2016T3,Partidos del GBA,Jóvenes (15-24),30.097811182773853,22.123846765865963,26.493502695211614
2016,2016T3,Partidos del GBA,Mayores (55+),37.84794735318216,35.70609017600276,5.6591105382609745
2016,2016T4,Gran San Juan,Adultos (25-54),67.83068904028165,65.03017694664167,4.128680002022211
2016,2016T4,Gran San Juan,Jóvenes (15-24),16.061337252713567,13.906202104832941,13.418155126009298
2016,2016T4,Gran San Juan,Mayores (55+),22.830019161505252,22.16373943533191,2.918436999373128
2016,2016T4,Partidos del GBA,Adultos (25-54),79.2462529017642,73.71208218548975,6.9835109088814
2016,2016T4,Partidos del GBA,Jóvenes (15-24),28.64594741107412,21.525922113194323,24.855262057512874
2016,2016T4,Partidos del GBA,Mayores (55+),35.64720389230409,34.01673353711705,4.573908125060678
2017,2017T1,Gran San Juan,Adultos (25-54),75.1648829249742,70.79752268158852,5.810373240047414
2017,2017T1,Gran San Juan,Jóvenes (15-24),19.202502331864526,16.975169663246596,11.599179263849923
2017,2017T1,Gran San Juan,Mayores (55+),22.771758672982816,22.40748557759955,1.599670454155367
2017,2017T1,Partidos del GBA,Adultos (25-54),79.62199723443182,72.38767285360707,9.085836366958551
2017,2017T1,Partidos del GBA,Jóvenes (15-24),30.258547124934182,21.745347758928744,28.13485832897192
2017,2017T1,Partidos del GBA,Mayores (55+),38.08014247551202,35.62208370436331,6.4549621176690675
2017,2017T2,Gran San Juan,Adultos (25-54),79.33517360649195,76.13021595494656,4.039768876592118
2017,2017T2,Gran San Juan,Jóvenes (15-24),21.18642712016254,18.704305117826802,11.715623348183946
2017,2017T2,Gran San Juan,Mayores (55+),29.6875,29.31268509378085,1.2625344209487193
2017,2017T2,Partidos del GBA,Adultos (25-54),80.19102252436083,73.28215536787891,8.615511985001946
2017,2017T2,Partidos del GBA,Jóvenes (15-24),28.82292130247738,21.23847007650412,26.31395737572707
2017,2017T2,Partidos del GBA,Mayores (55+),37.32631733354805,35.314870959229765,5.388815500720296
2017,2017T3,Gran San Juan,Adultos (25-54),74.76224857010706,69.84815495865438,6.572961227677056
2017,2017T3,Gran San Juan,Jóvenes (15-24),20.369274200892452,14.962966335792125,26.541485041540923
2017,2017T3,Gran San Juan,Mayores (55+),32.73027975991739,30.926554286468566,5.510877043152326
2017,2017T3,Partidos del GBA,Adultos (25-54),80.8312056598273,75.18863337956996,6.980685533757512
2017,2017T3,Partidos del GBA,Jóvenes (15-24),31.534235265838166,22.52670924458842,28.564276080631085
2017,2017T3,Partidos del GBA,Mayores (55+),38.00878826179489,35.99202426022017,5.306046558716277
2017,2017T4,Gran San Juan,Adultos (25-54),76.41703120123951,73.39435979699212,3.955494418891229
2017,2017T4,Gran San Juan,Jóvenes (15-24),24.957829292977976,21.25965910003695,14.817675646100867
2017,2017T4,Gran San Juan,Mayores (55+),34.929284461211246,34.75773523978079,0.49113293924174406
2017,2017T4,Partidos del GBA,Adultos (25-54),80.26841745634013,74.78090855382192,6.836448352184115
2017,2017T4,Partidos del GBA,Jóvenes (15-24),32.81049548986299,25.367681346747567,22.684247927358864
2017,2017T4,Partidos del GBA,Mayores (55+),37.57655323790783,35.785044011993634,4.767625211848578
2018,2018T1,Gran San Juan,Adultos (25-54),75.8228735750901,72.80100457167086,3.9854319164342606
2018,2018T1,Gran San Juan,Jóvenes (15-24),21.6273832241649,19.45003180497533,10.067567567567567
2018,2018T1,Gran San Juan,Mayores (55+),28.791019131345973,27.68150893386857,3.8536676746862204
2018,2018T1,Partidos del GBA,Adultos (25-54),80.40040126957038,73.76444541803835,8.25363523906139
2018,2018T1,Partidos del GBA,Jóvenes (15-24),31.91143399989615,23.058262445294496,27.742944910060967
2018,2018T1,Partidos del GBA,Mayores (55+),37.948272879805394,35.408206560267246,6.6934965066351495
2018,2018T2,Gran San Juan,Adultos (25-54),74.73344769928991,72.02992334585568,3.6175560430619926
2018,2018T2,Gran San Juan,Jóvenes (15-24),20.315683167627242,18.174853302223536,10.53781872723377
2018,2018T2,Gran San Juan,Mayores (55+),30.26509117342283,28.962834650540543,4.302833635690012
2018,2018T2,Partidos del GBA,Adultos (25-54),81.76174599558375,74.1489739231012,9.31092160494439
2018,2018T2,Partidos del GBA,Jóvenes (15-24),29.90828620374692,20.65760316464753,30.93016756654035
2018,2018T2,Partidos del GBA,Mayores (55+),36.891843620500424,34.13219668296005,7.480371449929011
