ANO4,PERIODO,AGLOMERADO_NOM,NIVEL_ED_NOMBRE,tasa_actividad,tasa_empleo,tasa_desocupacion
2016,2016T2,Gran San Juan,NS/NC,3.701188455008489,3.701188455008489,0.0
2016,2016T2,Gran San Juan,Primaria completa,42.90921306794323,40.6214831611657,5.331558756752525
2016,2016T2,Gran San Juan,Primaria incompleta,6.570895522388059,6.570895522388059,0.0
2016,2016T2,Gran San Juan,Secundaria completa,65.50806960598685,60.32218315150423,7.9164085977106415
2016,2016T2,Gran San Juan,Secundaria incompleta,27.983055191232115,25.75038065517917,7.978666092015947
2016,2016T2,Gran San Juan,Superior completo,81.74266525273949,77.76599505125486,4.864864864864865
2016,2016T2,Gran San Juan,Superior incompleto,47.28583807873236,38.71007675167121,18.136003665161333
2016,2016T2,Partidos del GBA,NS/NC,35.029416832828694,21.475518794771435,38.69290231904427
2016,2016T2,Partidos del GBA,Primaria completa,49.46299165956552,44.30285956309507,10.432308931060275
2016,2016T2,Partidos del GBA,Primaria incompleta,20.026455686724738,19.2495902696317,3.879195746095048
2016,2016T2,Partidos del GBA,Secundaria completa,67.87355859230685,60.81548536766087,10.398855417381904
2016,2016T2,Partidos del GBA,Secundaria incompleta,38.718735953671946,32.00180987636991,17.347999390628406
2016,2016T2,Partidos del GBA,Superior completo,79.15620881905727,76.38661936137862,3.498890989094299
2016,2016T2,Partidos del GBA,Superior incompleto,64.1684507951181,53.56244304233508,16.5283836860059
2016,2016T3,Gran San Juan,NS/NC,43.55329949238579,43.55329949238579,0.0
2016,2016T3,Gran San Juan,Primaria completa,34.66938892470807,34.07120853929364,1.7253848538072114
2016,2016T3,Gran San Juan,Primaria incompleta,16.595830803481075,16.595830803481075,0.0
2016,2016T3,Gran San Juan,Secundaria completa,55.40673039885142,52.319921560387996,5.571180281245063
2016,2016T3,Gran San Juan,Secundaria incompleta,32.63621081775932,30.785457661755494,5.670857950815533
2016,2016T3,Gran San Juan,Superior completo,71.39564961787184,71.39564961787184,0.0
2016,2016T3,Gran San Juan,Superior incompleto,45.03371318165688,41.090650999566265,8.75580071797566
2016,2016T3,Partidos del GBA,NS/NC,17.127331934009455,17.127331934009455,0.0
2016,2016T3,Partidos del GBA,Primaria completa,49.24337884837664,43.40990741696136,11.846204642814813
2016,2016T3,Partidos del GBA,Primaria incompleta,21.18669478819912,19.88988556569173,6.120866116548327
2016,2016T3,Partidos del GBA,Secundaria completa,69.93120069416251,61.99808548069957,11.34417132083526
2016,2016T3,Partidos del GBA,Secundaria incompleta,36.80811345912966,31.298638328821365,14.968099727321826
2016,2016T3,Partidos del GBA,Superior completo,79.30171766756101,75.44861232130995,4.858791788601081
2016,2016T3,Partidos del GBA,Superior incompleto,65.07091948012794,56.650791631925316,12.939924493880964
2016,2016T4,Gran San Juan,NS/NC,17.813267813267814,17.813267813267814,0.0
2016,2016T4,Gran San Juan,Primaria completa,25.007140307033204,24.541235273116744,1.8630880148475981
2016,2016T4,Gran San Juan,Primaria incompleta,10.76225540328629,10.76225540328629,0.0
2016,2016T4,Gran San Juan,Secundaria completa,55.98704955904423,52.82194829941149,5.653273899162701
2016,2016T4,Gran San Juan,Secundaria incompleta,25.4937826181806,24.263731100333942,4.8249078462348605
2016,2016T4,Gran San Juan,Superior completo,69.00545342103783,63.529544049024565,7.935473358318397
2016,2016T4,Gran San Juan,Superior incompleto,43.050669121757146,40.14730542859961,6.744061712365386
2016,2016T4,Partidos del GBA,NS/NC,32.406446433117274,32.406446433117274,0.0
2016,2016T4,Partidos del GBA,Primaria completa,44.59872679275191,40.97980572647534,8.114404438255642
2016,2016T4,Partidos del GBA,Primaria incompleta,17.520429140907652,17.231584299219676,1.6486173903900745
2016,2016T4,Partidos del GBA,Secundaria completa,69.04478370820344,60.933674083787146,11.747606681911554
2016,2016T4,Partidos del GBA,Secundaria incompleta,38.361855836655565,32.696547436238454,14.768076978704942
2016,2016T4,Partidos del GBA,Superior completo,79.3456714071013,77.55200855243761,2.260567996785722
2016,2016T4,Partidos del GBA,Superior incompleto,65.60251447568407,56.73228364534689,13.521175066582206
2017,2017T1,Gran San Juan,NS/NC,0.0,0.0,
2017,2017T1,Gran San Juan,Primaria completa,32.63010303899831,31.660036520151298,2.9729189567302887
2017,2017T1,Gran San Juan,Primaria incompleta,15.054685824576453,13.935234827364356,7.435897435897436
2017,2017T1,Gran San Juan,Secundaria completa,63.6819573776639,59.841572401724896,6.030569935474374
2017,2017T1,Gran San Juan,Secundaria incompleta,28.021471905472794,26.88593844296922,4.052369077306733
2017,2017T1,Gran San Juan,Superior completo,73.57702349869452,71.78507626769273,2.435471218856225
2017,2017T1,Gran San Juan,Superior incompleto,36.692730958586736,32.11120764552563,12.486187845303867
2017,2017T1,Partidos del GBA,NS/NC,25.496676973380243,18.706685147670328,26.630889322553664
2017,2017T1,Partidos del GBA,Primaria completa,43.87292727150053,39.67858049356722,9.560216376667253
2017,2017T1,Partidos del GBA,Primaria incompleta,25.45197224251278,21.657975543110677,14.906493937884072
2017,2017T1,Partidos del GBA,Secundaria completa,68.97122637222827,62.19991972616018,9.817581913832125
2017,2017T1,Partidos del GBA,Secundaria incompleta,39.777324568438836,33.80757690780968,15.00791650870816
2017,2017T1,Partidos del GBA,Superior completo,81.89482480472604,77.73795568760808,5.075863007253258
2017,2017T1,Partidos del GBA,Superior incompleto,66.9084990696432,56.272551531806435,15.89625785323044
2017,2017T2,Gran San Juan,NS/NC,28.53154662199888,28.53154662199888,0.0
2017,2017T2,Gran San Juan,Primaria completa,40.478914953050854,37.52229663783529,7.304094782789441
2017,2017T2,Gran San Juan,Primaria incompleta,10.22069931100549,9.203787627574519,9.949531362653207
2017,2017T2,Gran San Juan,Secundaria completa,62.58120939530235,60.48069715142429,3.356458374925135
2017,2017T2,Gran San Juan,Secundaria incompleta,35.13927932532584,33.72518953914303,4.0242424242424235
2017,2017T2,Gran San Juan,Superior completo,78.7573866198353,75.78137978498707,3.778701862231061
2017,2017T2,Gran San Juan,Superior incompleto,46.358857932532146,45.08797473040002,2.741403172575322
2017,2017T2,Partidos del GBA,NS/NC,26.34531209769375,23.68043550226211,10.115183246073299
2017,2017T2,Partidos del GBA,Primaria completa,50.54734479769335,44.83565946083901,11.299674314673364
2017,2017T2,Partidos del GBA,Primaria incompleta,21.46087081491975,19.026086123386836,11.345227845275678
2017,2017T2,Partidos del GBA,Secundaria completa,68.57261808733277,59.118940438708336,13.786374083871808
2017,2017T2,Partidos del GBA,Secundaria incompleta,38.6191659838432,32.725895415275815,15.259963332799344
2017,2017T2,Partidos del GBA,Superior completo,78.13602338930691,74.70885104509766,4.386161715875438
2017,2017T2,Partidos del GBA,Superior incompleto,69.1213319442777,62.485041187565116,9.600930089226933
2017,2017T3,Gran San Juan,NS/NC,23.477406679764243,12.229862475442044,47.90794979079498
2017,2017T3,Gran San Juan,Primaria completa,38.737424029117875,34.522542320502694,10.880645304259186
2017,2017T3,Gran San Juan,Primaria incompleta,13.523310068252806,12.678826205992365,6.244653550042772
2017,2017T3,Gran San Juan,Secundaria completa,59.370443754906724,54.482410557404016,8.23310874630061
2017,2017T3,Gran San Juan,Secundaria incompleta,33.817010461611204,31.525208345646906,6.777068950450056
2017,2017T3,Gran San Juan,Superior completo,69.39771978223189,66.90266350919167,3.5953000773939348
2017,2017T3,Gran San Juan,Superior incompleto,48.32957774076614,43.12726560203782,10.76424082708291
2017,2017T3,Partidos del GBA,NS/NC,23.6940598840953,22.667820347714102,4.3312101910828025
2017,2017T3,Partidos del GBA,Primaria completa,44.759050649410085,40.67444327039219,9.125768575861716
2017,2017T3,Partidos del GBA,Primaria incompleta,18.82905758855037,17.394919186662964,7.616623376623377
2017,2017T3,Partidos del GBA,Secundaria completa,69.6363728521466,62.55552739621877,10.168314583187758
2017,2017T3,Partidos del GBA,Secundaria incompleta,42.76674054692069,36.1031707502439,15.581196302219901
2017,2017T3,Partidos del GBA,Superior completo,71.02696899126009,69.4270972127279,2.2524849381212344
2017,2017T3,Partidos del GBA,Superior incompleto,67.72311037551512,59.567957737270184,12.041905035113947
2017,2017T4,Gran San Juan,NS/NC,0.0,0.0,
2017,2017T4,Gran San Juan,Primaria completa,44.19341404646458,43.01097658922569,2.675596540234914
2017,2017T4,Gran San Juan,Primaria incompleta,12.403480357075596,12.403480357075596,0.0
2017,2017T4,Gran San Juan,Secundaria completa,63.69129100778853,61.472740146329954,3.4832876306232863
2017,2017T4,Gran San Juan,Secundaria incompleta,36.49788687922017,33.90061045711417,7.116237799467613
2017,2017T4,Gran San Juan,Superior completo,72.51019651464591,69.2893338277098,4.441944501261335
2017,2017T4,Gran San Juan,Superior incompleto,50.23534104507379,46.67198510836325,7.093324863691705
2017,2017T4,Partidos del GBA,NS/NC,29.114666373449154,23.107372587827808,20.633222131302322
2017,2017T4,Partidos del GBA,Primaria completa,44.53038481705579,40.76543499970628,8.454788416531898
2017,2017T4,Partidos del GBA,Primaria incompleta,19.497189082880308,18.044603595747443,7.4502302919569106
2017,2017T4,Partidos del GBA,Secundaria completa,66.71826496712455,60.71654522901979,8.995617228748543
2017,2017T4,Partidos del GBA,Secundaria incompleta,41.642227725722954,34.897339171612764,16.197232767025536
2017,2017T4,Partidos del GBA,Superior completo,77.4916470226504,74.78856205800963,3.4882275296725505
2017,2017T4,Partidos del GBA,Superior incompleto,68.14604709522243,61.13714342933162,10.285121389501967
2018,2018T1,Gran San Juan,NS/NC,11.220472440944881,11.220472440944881,0.0
2018,2018T1,Gran San Juan,Primaria completa,40.26886729668575,38.9711167309996,3.2227143518212467
2018,2018T1,Gran San Juan,Primaria incompleta,19.906863385124254,18.49675762719241,7.083515522518584
2018,2018T1,Gran San Juan,Secundaria completa,60.27390413355326,57.99470185435097,3.7814080769549716
2018,2018T1,Gran San Juan,Secundaria incompleta,35.99733406743071,31.89846274214347,11.386596900784866
2018,2018T1,Gran San Juan,Superior completo,70.32995279712108,67.25241856335,4.375851413762169
2018,2018T1,Gran San Juan,Superior incompleto,43.635677443703614,41.95496288841364,3.8516980914489998
2018,2018T1,Partidos del GBA,NS/NC,19.85904784185285,15.849806994970173,20.188484759240172
2018,2018T1,Partidos del GBA,Primaria completa,42.423696066841366,37.142502986184674,12.448686866735567
2018,2018T1,Partidos del GBA,Primaria incompleta,15.877037166457974,13.658115178164099,13.975667909763404
2018,2018T1,Partidos del GBA,Secundaria completa,70.23983546623381,60.20718181120667,14.283424197156764
2018,2018T1,Partidos del GBA,Secundaria incompleta,40.03799987034165,35.74481241927521,10.722782019505026
2018,2018T1,Partidos del GBA,Superior completo,77.40436956013703,73.4077743134919,5.163268261671048
2018,2018T1,Partidos del GBA,Superior incompleto,64.50735791531042,53.132524927713845,17.633388430712383
2018,2018T2,Gran San Juan,NS/NC,16.11212994498297,16.11212994498297,0.0
2018,2018T2,Gran San Juan,Primaria completa,47.59586615128334,46.670763856318025,1.9436610146454179
2018,2018T2,Gran San Juan,Primaria incompleta,12.67297541490323,11.251129392743355,11.219512195121952
2018,2018T2,Gran San Juan,Secundaria completa,58.83680807494478,54.73806414163401,6.96629213483146
2018,2018T2,Gran San Juan,Secundaria incompleta,34.13296126587497,32.20180431577111,5.657748049052397
2018,2018T2,Gran San Juan,Superior completo,66.85127462985639,65.0228208838918,2.7351067815661296
2018,2018T2,Gran San Juan,Superior incompleto,49.64960713527288,46.89196978430361,5.55419772699499
2018,2018T2,Partidos del GBA,NS/NC,32.95512754840693,32.95512754840693,0.0
2018,2018T2,Partidos del GBA,Primaria completa,45.50966536801187,39.39791235943724,13.429571408957223
2018,2018T2,Partidos del GBA,Primaria incompleta,19.92267442993655,15.776790634463037,20.809875752643702
2018,2018T2,Partidos del GBA,Secundaria completa,69.07043594279375,58.57484709021678,15.195486620744289
2018,2018T2,Partidos del GBA,Secundaria incompleta,37.9440946355481,34.27625780278425,9.66642337363247
2018,2018T2,Partidos del GBA,Superior completo,76.87534029237335,73.27580318757599,4.682303962632955
2018,2018T2,Partidos del GBA,Superior incompleto,65.20930438348844,55.06018171081807,15.563918015417777
2018,2018T3,Gran San Juan,NS/NC,15.611285266457681,15.611285266457681,0.0
