AGLOMERADO_NOM,PERIODO,media_ipcf,mediana_ipcf,q1_ipcf,q3_ipcf
Gran San Juan,2020T1,17957.47387068202,14000.0,9280.0,22160.0
Gran San Juan,2020T2,17382.563002680967,13000.0,8250.0,19580.0
Gran San Juan,2020T3,19735.828396322777,16500.0,10825.0,23840.0
Gran San Juan,2020T4,19190.412790697676,15460.0,10200.0,23095.0
Partidos del GBA,2020T1,20545.646688864224,15650.0,8925.0,25750.0
Partidos del GBA,2020T2,17272.44784053156,12625.0,7000.0,20600.0
Partidos del GBA,2020T3,23171.047028086217,16500.0,9087.5,27500.0
Partidos del GBA,2020T4,23649.131918119787,18000.0,10000.0,28250.0
