AGLOMERADO_NOM,PERIODO,media_ipcf,mediana_ipcf,q1_ipcf,q3_ipcf
Gran San Juan,2018T1,9073.428835489834,7000.0,4900.0,10987.5
Gran San Juan,2018T2,8831.536842105263,7000.0,5000.0,10000.0
Gran San Juan,2018T3,10904.830508474577,7600.0,4950.0,13250.0
Gran San Juan,2018T4,9724.947955390335,7700.0,5890.0,11137.5
Partidos del GBA,2018T1,10390.352328431372,7500.0,4500.0,13000.0
Partidos del GBA,2018T2,9213.755740528128,7237.5,4500.0,11400.0
Partidos del GBA,2018T3,11584.894383394383,9100.0,5250.0,14500.0
Partidos del GBA,2018T4,11048.953659976387,8400.0,5000.0,13262.5
