AGLOMERADO_NOM,PERIODO,media_ipcf,mediana_ipcf,q1_ipcf,q3_ipcf
Gran San Juan,2025T1,427447.14950634696,318400.0,201250.0,488250.0
Gran San Juan,2025T2,435353.43029490614,340000.0,250750.0,499750.0
Partidos del GBA,2025T1,589303.7150304083,420000.0,256000.0,722500.0
Partidos del GBA,2025T2,545853.466578716,400000.0,257500.0,650000.0
