AGLOMERADO_NOM,PERIODO,media_ipcf,mediana_ipcf,q1_ipcf,q3_ipcf
Gran San Juan,2017T1,6754.065922920892,5600.0,3375.0,9000.0
Gran San Juan,2017T2,7220.5946643717725,6000.0,4120.0,8500.0
Gran San Juan,2017T3,8044.157712305026,6070.0,3706.5,9575.0
Gran San Juan,2017T4,7840.996560619089,6000.0,4300.0,9400.0
Partidos del GBA,2017T1,7506.51282051282,5600.0,3393.75,9000.0
Partidos del GBA,2017T2,7580.43262777491,5860.0,3500.0,9300.0
Partidos del GBA,2017T3,9444.43872618709,7200.0,4450.0,12000.0
Partidos del GBA,2017T4,9012.302841918296,7200.0,4400.0,11000.0
