AGLOMERADO_NOM,PERIODO,media_ipcf,mediana_ipcf,q1_ipcf,q3_ipcf
Gran San Juan,2021T1,21224.88688067445,16970.72,10100.0,25400.0
Gran San Juan,2021T2,22015.205263157895,18800.0,12500.0,25000.0
Gran San Juan,2021T3,28645.12739913097,21142.86,12642.86,34500.0
Gran San Juan,2021T4,30464.094545454547,24000.0,16000.0,35905.5
Partidos del GBA,2021T1,26858.794110245653,20250.0,11029.17,33900.0
Partidos del GBA,2021T2,28375.424812030076,21320.0,13000.0,35000.0
Partidos del GBA,2021T3,34020.59955818966,25000.0,14245.8325,41437.5
Partidos del GBA,2021T4,33732.08508403361,26000.0,16700.0,41600.0
