AGLOMERADO_NOM,PERIODO,media_ipcf,mediana_ipcf,q1_ipcf,q3_ipcf
Gran San Juan,2024T1,187773.58448060075,157000.0,92000.0,221500.0
Gran San Juan,2024T2,255152.27125506074,225000.0,125000.0,280600.0
Gran San Juan,2024T3,332555.88773148146,265000.0,167250.0,400000.0
Gran San Juan,2024T4,327842.8161925602,275000.0,172000.0,400000.0
Partidos del GBA,2024T1,246757.8099569172,170000.0,100000.0,300000.0
Partidos del GBA,2024T2,303991.7881104034,209000.0,132000.0,374000.0
Partidos del GBA,2024T3,433845.6295554666,307000.0,200000.0,529400.0
Partidos del GBA,2024T4,455028.8306900986,330000.0,202000.0,560000.0
