AGLOMERADO_NOM,PERIODO,media_ipcf,mediana_ipcf,q1_ipcf,q3_ipcf
Gran San Juan,2022T1,34254.96715643907,26500.0,18000.0,40000.0
Gran San Juan,2022T2,35911.67560073937,30125.0,20474.5,43800.0
Gran San Juan,2022T3,54649.84551148226,40705.0,28210.0,65000.0
Gran San Juan,2022T4,56356.78813559322,48000.0,33625.0,70000.0
Partidos del GBA,2022T1,40044.52575216726,30000.0,19000.0,48250.0
Partidos del GBA,2022T2,44589.05184174625,32000.0,20000.0,52500.0
Partidos del GBA,2022T3,53571.46389496718,40000.0,24375.0,66500.0
Partidos del GBA,2022T4,61115.8984082397,48000.0,31000.0,75000.0
